unity_timestamp,eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,messages,
65.3109400000,968005,True,1.0000000000,3.7126310000,-0.0286785100,0.0006448670,-0.0266979200,0.0421451300,0.1616072000,0.9859548000,True,1.0000000000,3.9170680000,0.0345789800,-0.0034021760,-0.0293978300,0.0463257600,0.1900333000,0.9806840000,0.0036326600,-0.0014223020,-0.0280770000,0.0442817600,0.1761352000,0.9833695000,0.0000000000,,
65.3442900000,968013,True,1.0000000000,3.7215580000,-0.0286750500,0.0006455994,-0.0266911900,0.0420994300,0.1608598000,0.9860790000,True,1.0000000000,3.9177250000,0.0345818000,-0.0034026490,-0.0293965800,0.0462195800,0.1904631000,0.9806057000,0.0018873900,-0.0013102880,-0.0279982900,0.0440984000,0.1751881000,0.9835469000,0.0000000000,,
65.3442900000,968021,True,1.0000000000,3.7218320000,-0.0286710800,0.0006455994,-0.0266930900,0.0417329400,0.1603400000,0.9861792000,True,1.0000000000,3.9200900000,0.0345850500,-0.0034038550,-0.0293963200,0.0470583400,0.1903086000,0.9805958000,0.0004668122,-0.0012197110,-0.0279382800,0.0441897100,0.1741648000,0.9837245000,0.0000000000,,
65.3533600000,968030,True,1.0000000000,3.7231900000,-0.0286656700,0.0006471406,-0.0267046500,0.0406804600,0.1605550000,0.9861882000,True,1.0000000000,3.9226680000,0.0345883000,-0.0034050600,-0.0293960600,0.0478827200,0.1902186000,0.9805734000,0.0008776246,-0.0012454680,-0.0279617000,0.0440525200,0.1744400000,0.9836819000,0.0000000000,,
65.3533600000,968038,True,1.0000000000,3.7228390000,-0.0286606200,0.0006475372,-0.0267219600,0.0422827200,0.1614403000,0.9859763000,True,1.0000000000,3.9243930000,0.0345904400,-0.0034069220,-0.0293951000,0.0488440200,0.1904474000,0.9804816000,0.0015139920,-0.0012866820,-0.0279972100,0.0454257900,0.1752944000,0.9834675000,0.0000000000,,
65.3643300000,968046,True,1.0000000000,3.7227480000,-0.0286592700,0.0006481629,-0.0267223500,0.0420079000,0.1613482000,0.9860030000,True,1.0000000000,3.9262080000,0.0345922400,-0.0034087830,-0.0293941200,0.0498815200,0.1906606000,0.9803878000,0.0020985570,-0.0013246460,-0.0280215800,0.0458528800,0.1756295000,0.9833879000,0.0000000000,,
65.3754600000,968055,True,1.0000000000,3.7241670000,-0.0286592700,0.0006500549,-0.0267238600,0.0420081800,0.1603727000,0.9861622000,True,1.0000000000,3.9297940000,0.0345910200,-0.0034097140,-0.0293831200,0.0508581700,0.1900811000,0.9804502000,0.0019388280,-0.0013138890,-0.0280103000,0.0462959400,0.1747618000,0.9835217000,0.0000000000,,
65.3864700000,968063,True,1.0000000000,3.7446290000,-0.0286592700,0.0006507416,-0.0267244000,0.0420075200,0.1601870000,0.9861925000,True,1.0000000000,3.9334870000,0.0345897900,-0.0034106290,-0.0293868300,0.0517427800,0.1903542000,0.9803510000,0.0040870060,-0.0014519650,-0.0281028300,0.0470582900,0.1758277000,0.9832956000,0.0000000000,,
65.3977500000,968071,True,1.0000000000,3.7441860000,-0.0286592700,0.0006507416,-0.0267366500,0.0419162100,0.1600812000,0.9862135000,True,1.0000000000,3.9348300000,0.0345897900,-0.0034251560,-0.0293868300,0.0532226700,0.1927796000,0.9797976000,0.0045473940,-0.0014891510,-0.0281280400,0.0478674100,0.1772635000,0.9829986000,0.0000000000,,
65.3977500000,968080,True,1.0000000000,3.7254790000,-0.0286592700,0.0006506653,-0.0267397600,0.0419013000,0.1601283000,0.9862065000,True,1.0000000000,3.9455410000,0.0345897900,-0.0034443820,-0.0293868300,0.0531772800,0.1934524000,0.9796674000,0.0047545470,-0.0015126950,-0.0281381800,0.0478674400,0.1777672000,0.9829077000,0.0000000000,,
65.4199100000,968088,True,1.0000000000,3.7440950000,-0.0286592700,0.0006500549,-0.0267397600,0.0419008700,0.1600961000,0.9862117000,True,1.0000000000,3.9541630000,0.0345897900,-0.0034443820,-0.0293868300,0.0531618300,0.1870277000,0.9809151000,0.0045707400,-0.0015010830,-0.0281304900,0.0478217700,0.1742733000,0.9835354000,0.0000000000,,
65.4310800000,968096,True,1.0000000000,3.7435300000,-0.0286592700,0.0006500549,-0.0267397600,0.0419011800,0.1594869000,0.9863104000,True,1.0000000000,3.9525600000,0.0345897900,-0.0034449010,-0.0293868300,0.0531465000,0.1815953000,0.9819362000,0.0041497040,-0.0014740910,-0.0281128700,0.0477448600,0.1709751000,0.9841178000,0.0000000000,,
65.4421900000,968113,True,1.0000000000,3.7425380000,-0.0286592700,0.0006494599,-0.0267397600,0.0392152900,0.1571816000,0.9867908000,True,1.0000000000,3.9524690000,0.0345897900,-0.0034449010,-0.0293868300,0.0531468700,0.1810625000,0.9820345000,0.0039697880,-0.0014627380,-0.0281053500,0.0464025300,0.1695272000,0.9844325000,0.0000000000,,
65.4534800000,968121,True,1.0000000000,3.7424930000,-0.0286649000,0.0006475372,-0.0267397600,0.0401311800,0.1575645000,0.9866929000,True,1.0000000000,3.9502720000,0.0345897900,-0.0034449010,-0.0293868300,0.0522924500,0.1783009000,0.9825855000,0.0037652740,-0.0014506230,-0.0280968900,0.0463719000,0.1682145000,0.9846591000,0.0000000000,,
65.4644400000,968130,True,1.0000000000,3.6313630000,-0.0287136100,0.0005854950,-0.0266084300,0.0415197500,0.1524374000,0.9874406000,True,1.0000000000,3.9497990000,0.0345888100,-0.0034449010,-0.0293868300,0.0524751700,0.1774451000,0.9827307000,0.0067973480,-0.0016754460,-0.0281670400,0.0476690200,0.1664906000,0.9848901000,0.0000000000,,
65.4644400000,968138,True,1.0000000000,3.6209410000,-0.0287293600,0.0005796357,-0.0266099600,0.0389405000,0.1541751000,0.9872759000,True,1.0000000000,3.9496000000,0.0345881200,-0.0034449010,-0.0293932100,0.0525826400,0.1777678000,0.9826666000,0.0112505000,-0.0019615330,-0.0283673600,0.0475617600,0.1690830000,0.9844536000,0.0000000000,,
