phase,trial,magnification,head_amp,eye_amp,gain_paired,gain_lstsq,offset_lstsq,r_squared
aftereffect,15,1.16,22.268817325852943,25.05745201600474,1.1252259897481998,1.1310859876175023,0.08394648781245252,0.9976655919848787
aftereffect,16,0.9,26.734495924265694,24.405138401791348,0.9128707147098257,0.9008112811097672,-1.2268163914329089,0.9809579586370119
aftereffect,17,1.0,21.25561596868177,23.305970445137426,1.0964617764771751,0.7828340928987432,-4.320145546302374,0.29238335930713155
aftereffect,18,0.9,22.723935135850827,21.463937976729554,0.9445519822342119,0.9299874198763494,0.3418194622230429,0.9986462076537123
aftereffect,19,1.04,19.571626955079054,20.506848976885397,1.0477845824444167,1.0381816175219196,0.544821492261654,0.9963437346964454
aftereffect,20,1.12,20.493435873949863,23.05526140310843,1.125007126424077,1.080313351172069,-0.16895107792744837,0.9943233859971339
aftereffect,21,1.0,17.55725494365686,17.693304379855284,1.0077489013308185,0.9636752382676113,0.9775698900719391,0.9859615042319406
aftereffect,22,1.12,21.589425576600355,22.995747200143782,1.0651393719834614,1.0723028204788523,-0.3986260932500756,0.9929562247780045
aftereffect,23,1.12,22.15848651407903,24.72089869493985,1.1156402166381139,1.1247986597372497,-0.30884389603676604,0.9970424643262685
aftereffect,24,0.95,21.374300650462253,21.125583657241457,0.9883637365597074,0.958382809053893,0.5789850789280262,0.9966313149496842
aftereffect,25,1.12,22.04330916017735,25.143508174938553,1.140641270883317,1.1202771324493443,-0.31767251407697056,0.996909315840941
aftereffect,26,0.95,24.55940895878665,24.487359826549493,0.9970663328112633,0.9758663572937125,0.8729577140739215,0.99899511033044
aftereffect,27,1.0,23.351517292722257,23.896879369893803,1.0233544600265232,1.0143836576929661,-1.3502857234919814,0.9981494522156956
aftereffect,28,0.8,22.1802836523525,18.790349986103696,0.8471645485070585,0.8441231970967784,-0.6887125209265682,0.9968294925612297
aftereffect,29,0.85,21.758331099649002,19.17359570331356,0.8812070932969147,0.8595641952516626,-0.0022416048945026346,0.9964618150357241
aftereffect,30,1.12,25.58734859282862,19.008851689289735,0.7429004072198929,0.8830251231612004,-1.0427941213065368,0.8932768635016503
aftereffect,31,0.95,19.802861889929694,19.007461244733403,0.959834055823983,0.9152411246454121,0.7604304700691782,0.9625628702318808
aftereffect,32,0.9,20.206552682789503,14.752884325830731,0.7301039696096298,0.6912324661098,-0.960403586155477,0.9426997279793239
aftereffect,33,1.12,18.34428668331359,17.191302228519152,0.9371474904040166,0.7812350026446405,-2.347014594921009,0.8126893497998031
aftereffect,34,1.12,17.672518441468164,20.481196170966868,1.1589291157794581,0.9785418178978906,1.4656104289095249,0.875883159410189
aftereffect,35,1.08,20.349459309741164,21.03658403151609,1.0337662397470189,1.0397577161104807,-0.15520679866503848,0.993355308850374
aftereffect,36,1.04,17.79722016850488,18.503666311590006,1.0396941846196464,1.0535674349520385,-0.010554633425375026,0.9976122385854259
aftereffect,37,1.04,19.036666671868826,20.174485843661884,1.0597698741804653,1.0493251603266542,-0.6150019960085957,0.9980312002720919
aftereffect,38,0.9,18.71652442403073,17.3384436837475,0.9263709057802489,0.9215720986917183,-0.14313775387823877,0.9977198332497812
aftereffect,39,0.95,20.37074379087168,19.47325896285941,0.9559424615406317,0.9482853149497592,-0.39211249514456586,0.9959143430064453
aftereffect,40,0.9,19.106052375269694,17.6522878340584,0.9239107842553073,0.917489320507796,0.3552437000908562,0.998728923997561
aftereffect,41,1.2,21.878845691821947,26.00726118742231,1.1886943924625564,1.1706920889428405,0.13168474106862454,0.9966803616111153
aftereffect,42,0.95,21.029575953496508,20.512499790453788,0.9754119548493916,0.9671837474670215,-0.20014317633173387,0.9980781772725144
aftereffect,43,1.08,19.985679302915685,21.165439228095543,1.05903026398546,1.0402801847760181,-0.4778709004016219,0.99546349872509
aftereffect,44,0.95,19.808743477606484,18.991598893344026,0.9587482878363169,0.9683613421349552,0.6514210042081102,0.9991156522283418
aftereffect,45,1.04,19.333130233646685,20.724978601217874,1.0719929132401367,1.030531366382676,-0.004728143433940864,0.9959165554073907
aftereffect,46,1.2,18.77111622817057,22.225817147958082,1.1840434462071523,1.1222055870018697,-0.6320885516359476,0.9945203174407137
aftereffect,47,1.08,20.728747700031118,22.22295420867476,1.0720837809532218,1.086295262194488,-0.48732242220878336,0.9961981365879645
aftereffect,48,1.0,22.944243373472272,26.24111657912629,1.1436906483247038,0.5401791382569507,-6.404519903793518,0.06635431745161724
aftereffect,49,1.12,20.26547022367256,21.674423467179956,1.0695248236510972,1.1004326370867399,-0.6580184646087455,0.9966048568194354
aftereffect,50,0.8,20.80992782949568,17.848316929155082,0.8576827884937277,0.8644392893805036,-1.0601489163812257,0.9944516390584127
aftereffect,51,1.08,19.054445176492635,20.067286552265386,1.0531551229327993,0.9937210571052117,-0.40462288964341897,0.9865681389196123
aftereffect,52,0.9,18.746659595793155,17.028820874222536,0.9083656097347546,0.9000865972761601,0.32758787039086884,0.9956668452634004
aftereffect,53,1.04,18.87515596912658,19.323099655392728,1.0237319197255288,1.025053106004547,-0.021394261452669722,0.9971564906819869
aftereffect,54,0.85,22.623861140438315,19.792884126024436,0.8748676454102816,0.8794502440543255,0.3793742433332395,0.9960520255460515
aftereffect,55,0.9,21.18760883797124,19.83128754198743,0.935985164425299,0.9227271927073272,0.4395658969588626,0.9981573215859787
