phase,trial,magnification,head_amp,eye_amp,gain_paired,gain_lstsq,offset_lstsq
aftereffect,28,1.04,15.346169092475336,14.366417101117609,0.936156575269451,0.8744486802984143,-0.9369079958045956
aftereffect,29,0.85,17.482531943521796,12.834675879260804,0.7341428530331804,0.6964451958722832,-0.22043660468343973
aftereffect,30,1.0,22.16099996337462,16.94459953442102,0.7646134904753973,0.7627667213579529,-2.552054648903316
aftereffect,31,1.12,18.25583578529928,18.149209052546603,0.9941593069741272,0.9483820525015267,-0.1271820999778122
aftereffect,32,1.12,15.68160562522218,14.500801258636235,0.92470130962312,0.8207492556005593,0.41178554543068263
aftereffect,33,1.12,14.636674336065568,14.517556159764373,0.9918616638201971,0.957003455212455,-1.2372585667629137
aftereffect,34,0.95,18.908357696389185,15.05945371764156,0.7964443004226313,0.719233101387504,-2.014022222148483
aftereffect,35,1.12,17.768810001267166,15.288219635710139,0.8603963706415834,0.8778009730401207,-1.552886134294003
aftereffect,36,0.95,16.940618104110968,14.416105509847963,0.8509787199765525,0.8318805233389597,-1.824079388032367
aftereffect,37,0.95,17.55535908342697,15.158476326614053,0.8634671757255208,0.8403890174972909,0.8016748513321349
aftereffect,38,0.9,16.451384483801405,14.19934200182614,0.8631092426176835,0.8124989691917902,-0.42658855442075433
aftereffect,39,1.16,11.98573550763559,8.69573224654105,0.7255067693594087,0.824549642443875,-0.09616230489264387
aftereffect,40,1.04,15.253545796734786,14.161059966908951,0.9283782377957199,0.8757316988892191,-0.11032804159121633
aftereffect,41,0.85,12.754496015700004,10.7298505483277,0.8412602532565702,0.617915852826551,-0.3198985206667915
aftereffect,42,0.9,17.666686076146615,14.409448736177218,0.8156282776560293,0.8239704354795878,-0.47729641628845904
aftereffect,43,1.08,15.302388752192229,14.75218686282997,0.9640447058121276,0.9456221505886963,-0.676553083035187
aftereffect,44,1.04,14.778519422203217,12.133441244360434,0.821018729801253,0.7965802115523138,-0.40006303466536425
aftereffect,45,0.8,23.29372161824815,16.158494926118856,0.6936845554752572,0.6759127013870856,-1.3104682606372278
aftereffect,46,1.0,19.68702636922534,16.070508271912427,0.8162994233112708,0.8347009388464592,-0.2935675382584107
aftereffect,47,1.16,17.28910752968411,17.55153198422084,1.0151786004041081,0.9031022850465908,0.39343705792338773
aftereffect,48,1.08,13.723990158479836,11.90787784462347,0.8676687834307271,0.8302660134034371,-0.9861140114336479
aftereffect,49,1.0,17.16340571340742,14.707514331616885,0.8569111851809176,0.853449411520391,0.1426615916898677
aftereffect,50,0.9,18.38404826333773,15.555090764377525,0.8461189038215357,0.7744847557798941,-1.1243444481766989
aftereffect,51,0.9,18.107501926490215,14.82323194826257,0.8186237951783426,0.7910311167123057,-0.17589084792586093
aftereffect,52,1.2,14.455003371177822,14.809104676053721,1.0244967984982936,0.9017754170501093,-0.12960644711731525
aftereffect,53,1.08,16.82948547543649,16.3751157460707,0.9730015673961653,0.9020990361922876,-0.059824298349943156
aftereffect,54,1.12,15.87831553195981,14.556436708221312,0.916749429681138,0.9141436232095177,0.11837233682438938
aftereffect,55,1.0,15.989323393748359,14.10505068677015,0.8821543188178346,0.8026221724725386,-1.5929378273873265
