time_s,head_amp,eye_amp,gain,phase,round
255.0,47.50280371529452,24.861225538975322,0.5233633300463638,adaptation,-1
265.0,55.709095679612076,15.104684540021353,0.27113497994815294,adaptation,-1
275.0,50.931869836734016,22.754141915494287,0.4467564609042319,adaptation,-1
285.0,49.46877812920543,35.835887778986766,0.7244142494360485,adaptation,-1
295.0,44.74707868915639,36.98636334133986,0.8265648713801469,adaptation,-1
305.0,59.340038170915186,42.7149776999682,0.7198340111770343,adaptation,-1
315.0,50.50742084999182,36.05986742083407,0.713951867151021,adaptation,-1
325.0,46.692530724092286,17.916389835467655,0.38370997582753,adaptation,-1
335.0,48.362830623273574,20.683764960717223,0.4276789570452397,adaptation,-1
345.0,50.80363189347237,16.52054520109238,0.32518433398095425,adaptation,-1
355.0,40.874293733763174,14.60923207090297,0.3574185811273207,adaptation,-1
365.0,39.604875382558475,15.238851076908366,0.38477210014450336,adaptation,-1
375.0,40.1153625442855,15.335209221608174,0.38227771728795457,adaptation,-1
385.0,42.01879987766778,30.10951860539369,0.7165725506928707,adaptation,-1
395.0,47.07623304965961,38.54771928594024,0.8188361045217266,adaptation,-1
405.0,45.705152994899635,48.83615525317983,1.0685043600801336,adaptation,-1
415.0,50.00743599262101,44.58835077458776,0.8916344117536263,adaptation,-1
425.0,50.56821764562872,43.91842736528254,0.8684986224559763,adaptation,-1
435.0,57.74518129349428,30.291541465632193,0.5245726273102015,adaptation,-1
445.0,57.849749153002676,27.337842087121142,0.472566303007075,adaptation,-1
455.0,46.07173742341997,16.296135139365738,0.3537121899614276,adaptation,-1
465.0,55.09727899516989,20.71695414174807,0.3760068467911859,adaptation,-1
475.0,50.37569344794003,30.39042537325512,0.603275573857095,adaptation,-1
485.0,53.43341440227262,10.100815470560585,0.18903556105392694,adaptation,-1
495.0,53.261352179538,25.834445364489074,0.48505049735508177,adaptation,-1
505.0,40.271782906432655,27.3648719162745,0.6795048528110604,adaptation,-1
515.0,33.702681958007815,32.173581244250244,0.9546297022989811,adaptation,-1
525.0,29.877448846287734,21.2550259116124,0.7114069886275893,adaptation,-1
535.0,38.25186420951884,24.168144371990866,0.6318161185455821,adaptation,-1
545.0,47.57669517880465,24.571639423096183,0.5164637714063589,adaptation,-1
555.0,52.43584027731913,37.10273528297588,0.707583497980569,adaptation,-1
565.0,49.318714989764,41.373869433236116,0.8389080989199168,adaptation,-1
575.0,56.14686640287798,60.30304701759354,1.0740233762093359,adaptation,-1
585.0,51.27229701053954,43.09719727872927,0.8405552275114611,adaptation,-1
595.0,52.29378021864994,44.34336778229928,0.8479663852353279,adaptation,-1
605.0,43.136587166871635,27.62681755476814,0.6404497752197048,adaptation,-1
615.0,40.07057411585458,27.40784566023003,0.6839893429274742,adaptation,-1
625.0,36.13366472993106,25.183874106519365,0.69696429340195,adaptation,-1
