phase,trial,magnification,head_amp,eye_amp,gain_paired,gain_lstsq,offset_lstsq,r_squared
aftereffect,14,0.85,19.087964646788443,14.983569514986605,0.7849747100986797,0.7752743228664473,-0.1486185976780642,0.9454885370864089
aftereffect,15,1.08,14.446186944811092,14.034648791789214,0.971512333697876,0.9691801773775565,0.19491643909124998,0.9845733161630148
aftereffect,16,1.08,20.864147987624918,20.496753089871532,0.9823910903061416,0.9581767381380795,0.4247772586530886,0.9710601924985667
aftereffect,17,1.04,17.231143807816537,15.951522226812285,0.9257378619042238,0.9196581055195495,0.0967207051391882,0.9738661573518089
aftereffect,18,0.8,22.63720910907244,16.517596829895254,0.7296657794831874,0.7576832367568761,-0.8026760297682813,0.9632090216252549
aftereffect,19,0.9,19.444943311006373,15.042837707077254,0.7736118057265096,0.7691583847296835,0.512249684764518,0.9482377926348671
aftereffect,20,0.8,19.093744901932403,12.810621661797338,0.6709329011984875,0.5672849357046856,-1.9234920274613156,0.7850347246501337
aftereffect,21,0.85,18.788470832493488,14.953173005940492,0.7958696127669908,0.7844298048807058,-0.7476159420858367,0.9707330801723246
aftereffect,22,0.85,19.355352369233472,15.928771734797138,0.8229646989076213,0.8137776155498402,-0.6983698539274984,0.9841204603220229
aftereffect,23,1.16,18.278463675605348,17.833295929934902,0.9756452318109988,0.9701589072234029,0.13765385177993059,0.8793224376223904
aftereffect,24,1.12,21.489595459290257,21.464362418977956,0.9988258019858911,1.0151855732032442,-0.07599677487858451,0.9820142833314647
aftereffect,25,1.0,21.40152084892198,19.851818576328835,0.9275891520264923,0.9182308972652637,-0.07240374882491779,0.9795576621619677
aftereffect,26,0.95,20.470784650604493,17.64048044441947,0.8617393395273959,0.8337514775356974,-0.05394441629970539,0.9772887936798825
aftereffect,27,1.2,21.223043917803498,23.069721681656944,1.0870128606907472,1.0494661868718989,-0.9511603420318503,0.9829942544235712
aftereffect,28,1.16,18.606699061503736,20.14438653755976,1.0826416051000372,1.0990245180825569,-0.8444824633763195,0.9870481532865935
aftereffect,29,0.85,20.991269329212468,16.610420658596116,0.7913013928833855,0.7479900695265314,-1.5029277614077254,0.936168082970788
aftereffect,30,1.04,22.294421870563095,21.34905511376497,0.9575962650080484,0.9469145208662599,-1.1195077563118248,0.9829675547000231
aftereffect,31,1.04,18.960792842198178,18.271172516029313,0.9636291408324403,0.8350514468022857,-1.795530721306734,0.8701152053821852
aftereffect,32,1.04,20.84129976308585,20.33103144537978,0.9755164829685978,0.9737880316522435,0.2188268460237799,0.9761504099190171
aftereffect,33,1.16,22.099841533168252,21.65892430777283,0.9800488512673867,0.8483419656556189,-1.1730935925651411,0.8308597059278504
aftereffect,34,0.8,21.430112909732088,16.421561727842388,0.7662844240258221,0.752873262958536,0.24663430581542514,0.9751467617389339
aftereffect,35,1.12,18.999120643342387,19.876688292563973,1.0461899087697566,1.046039150192965,-0.3212819080833522,0.984415946509415
aftereffect,36,1.2,20.545863684714035,22.258534685171057,1.0833584329546213,1.0001123160105019,-1.882965409670187,0.9442544843379878
aftereffect,37,1.2,17.478325146499525,18.578226187465635,1.062929430122565,0.9800054804839119,0.396441163507503,0.8683845456069166
aftereffect,38,0.95,17.240620111836208,14.883446316845282,0.8632778995360698,0.8384864728120558,-0.19912903093132817,0.9822608240866748
aftereffect,39,0.8,17.139189514565956,12.986996075749822,0.7577368850909,0.6588611432823664,-1.8383524238219686,0.8459940698349355
aftereffect,40,1.0,16.536472385991487,15.132298002839555,0.9150862196981353,0.9257189809389718,-0.5265998254095017,0.979690636751335
aftereffect,41,0.95,19.559878217961888,15.925241029932295,0.814178945925548,0.7934236123903922,-0.09548705754169946,0.905257828174433
aftereffect,42,1.08,18.469225986789382,18.10618064580573,0.9803432292591291,0.8950937761924712,0.44404579235523767,0.9507553991465454
aftereffect,43,1.08,18.200580953104897,18.192805767047222,0.9995728056111116,0.9708903573345952,-0.333840129276882,0.9808013990445962
aftereffect,44,1.2,20.821869888926962,22.45709997403379,1.078534257193512,1.1023774984516592,-0.40248922337602794,0.9555312873719446
aftereffect,45,1.04,22.131114809372047,19.50426351750474,0.8813050623751275,0.9040770118050814,0.09535088308661809,0.9507488724715867
aftereffect,46,0.95,19.375376207393273,17.585669425986236,0.9076298306546368,0.9098941461507016,-0.27333795972297337,0.9843083569149826
aftereffect,47,1.08,18.053083271336465,17.907581510449457,0.9919403373540061,0.9977881851894398,0.7153466730751784,0.9831616697498846
aftereffect,48,0.95,20.694507040058973,18.80085361640033,0.9084948764426696,0.8905586745113363,0.02293843343900214,0.9816145260362051
aftereffect,49,0.9,16.22099056089732,13.059885530578747,0.8051225652064182,0.7388159996115339,-1.3371494671372814,0.9241088774972477
aftereffect,50,1.0,20.35059550778859,18.968926243022338,0.9321066912151313,0.9200800689947153,-0.24101533508298018,0.9862349457749962
aftereffect,51,1.16,19.22524010102869,20.63078640657585,1.0731094279270903,1.0272147716622495,1.0529954152458774,0.9697405565516775
aftereffect,52,1.0,18.638514198972203,16.16178412081759,0.8671176225897239,0.7818369007083589,0.07734227706026198,0.8035322389833542
aftereffect,53,0.9,20.723693772682132,18.12628354155762,0.874664706995989,0.8369824986544545,-0.20841783140229425,0.9782909513214698
