phase,topup_round,t_within_phase,amplitude_deg,duration_ms,peak_velocity
baseline,2,146.52929,5.293038365053766,21.800000000013142,318.57665957491275
baseline,2,146.57359000000002,3.19519431227738,21.6999999999814,150.3014541990655
baseline,2,146.70909,11.246457759865603,55.10000000001014,282.01001213941794
baseline,2,146.87599,4.800150910507234,41.89999999999827,164.01741006648925
baseline,2,147.61039000000002,3.343581748397117,265.0999999999897,440.6855774535333
baseline,2,148.99429,4.987550273210182,25.400000000018963,248.37245629766184
baseline,2,149.49409,4.374013758746505,22.20000000002642,253.52730116845817
baseline,2,149.85339000000002,16.412515872907978,51.79999999998586,1189.6385626884103
baseline,2,149.95459000000002,9.270534102140942,50.69999999997776,337.959115934068
baseline,2,150.06089,5.572895401680833,55.20000000001346,224.1384909105532
baseline,2,151.86009,10.861031838328678,55.59999999999832,323.73396988559915
baseline,2,152.17049,14.269194497224374,178.1000000000006,574.6855645836838
baseline,2,152.60379,5.374371231534655,39.299999999997226,502.02444562852537
baseline,2,152.78199,10.026814401112334,44.399999999996,472.8626818165827
baseline,2,154.25939000000002,4.6911791366704225,26.399999999995316,314.75527020506456
baseline,2,154.91419000000002,3.7335979911237396,122.50000000000227,256.55842789298543
baseline,2,155.12529,9.62348835012785,44.20000000001778,282.83635627127273
baseline,2,155.70259000000001,5.039945292661601,22.40000000000464,231.2394779015133
baseline,2,155.76939000000002,5.206102097376133,22.599999999982856,246.68603848374403
baseline,2,156.54499,10.49363648273903,79.29999999998927,465.459324024361
baseline,2,158.14639000000003,3.5188792552966133,25.799999999975398,158.20960160866716
baseline,2,158.56799,19.391661845991322,44.49999999999932,665.6845194554593
baseline,2,158.62349,2.8678489420826914,22.999999999996135,183.07748938246914
baseline,2,158.69049,4.226002098049001,22.500000000007958,314.2086034676976
baseline,2,159.16829,17.62019268555683,44.19999999998936,612.2660388443002
baseline,2,159.41229,4.554790382753888,47.40000000001032,663.7323358864902
baseline,2,161.20059,122.14990575575081,45.000000000015916,22086.00219542703
