time_s,head_amp,eye_amp,gain_paired,gain_lstsq,gain,phase,round
105.0,41.744010924717514,31.568830549052535,0.7562481383493497,-0.10800859039616789,-0.10800859039616789,adaptation,-1
115.0,47.19753706185165,39.25640354506084,0.8317468662319376,-0.11502945979455699,-0.11502945979455699,adaptation,-1
125.0,45.18906997764481,67.23853586733041,1.4879380323736149,-0.10330125702887999,-0.10330125702887999,adaptation,-1
135.0,47.17352213802209,56.54142439426169,1.1985839053702758,-0.16407224868730513,-0.16407224868730513,adaptation,-1
145.0,45.576350722193936,37.26131959005163,0.8175582072635489,-0.19631149502140274,-0.19631149502140274,adaptation,-1
155.0,50.43100683333571,30.11314148077459,0.5971156114390586,-0.1719912971408485,-0.1719912971408485,adaptation,-1
165.0,52.712388576119196,31.590430583284018,0.5992980291087727,-0.16762760690611891,-0.16762760690611891,adaptation,-1
175.0,57.8899129841987,35.88945109665046,0.6199603565900442,-0.14508820163054204,-0.14508820163054204,adaptation,-1
185.0,48.141397715684484,33.483948047682375,0.6955333587411255,-0.17873271457935,-0.17873271457935,adaptation,-1
195.0,47.7124912367152,30.731739439237174,0.6441025954140248,-0.15684650275314044,-0.15684650275314044,adaptation,-1
205.0,46.45755504451394,22.46390992683909,0.48353620644295614,-0.16310654438396388,-0.16310654438396388,adaptation,-1
215.0,53.963642691791236,23.136273804999867,0.42873817724167973,-0.14214752717261328,-0.14214752717261328,adaptation,-1
225.0,47.949491008774146,23.93218722455978,0.49911243521188775,-0.11941111762187147,-0.11941111762187147,adaptation,-1
235.0,51.35350394013731,32.92945716214105,0.6412309703448251,-0.09597652553046249,-0.09597652553046249,adaptation,-1
245.0,48.43820147277358,31.807349746224382,0.6566583559900101,-0.08710427427184725,-0.08710427427184725,adaptation,-1
255.0,62.28893188969257,34.555156340247336,0.5547559621256798,-0.10717578545107037,-0.10717578545107037,adaptation,-1
265.0,56.03975926991075,19.889004352495963,0.35490881137983227,-0.11936801673560153,-0.11936801673560153,adaptation,-1
275.0,59.164166168793464,18.096569491021008,0.3058704392011894,-0.12112663883083954,-0.12112663883083954,adaptation,-1
285.0,59.40131697922403,19.60869414145157,0.3301053770964342,-0.12667611249997857,-0.12667611249997857,adaptation,-1
295.0,54.62786156667918,15.452148337640338,0.2828620395250019,-0.12937731350120288,-0.12937731350120288,adaptation,-1
305.0,48.86542682919027,18.58669198621154,0.38036487537869185,-0.1073950904177615,-0.1073950904177615,adaptation,-1
315.0,32.77505568528247,22.016687689907737,0.6717513435009741,-0.11414426813060352,-0.11414426813060352,adaptation,-1
325.0,28.175565615719023,31.580143978606092,1.1208344282887321,-0.12408669769663447,-0.12408669769663447,adaptation,-1
335.0,29.956303809737275,46.13351723275517,1.5400270182117561,-0.18418345482280746,-0.18418345482280746,adaptation,-1
