trial,timestamp,magnification,radial,response,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38.68228,1.05,0,2,,,,pre,post,,,magn,pre,post,,0,40.67369,1.2,0,2,,,,pre,post,,,magn,pre,post
5,1171.134,0.975,0,2,,,,,,,,,,,,5,1142.431,0.9,0,2,,,,,,,,,,
6,1173.755,1.1,0,2,,,,,,,,,,,,6,1145.108,1.1,0,1,,,,,,,,,,
7,1176.41,1.15,0,2,,,,,,,,,,,,7,1149.983,0.95,0,1,,,,,,,,,,
8,1179.075,1.025,0,1,,,,,,,,,,,,8,1163.087,0.85,0,2,,,,,,,,,,
9,1183.884,1.15,0,2,,,,,,,,,,,,9,1165.953,0.975,0,1,,,,,,,,,,
10,1186.605,0.9,0,2,,,,,,,,,,,,10,1167.773,1.025,0,1,,,,,,,,,,
11,1189.326,0.9,0,2,,,,,,,,,,,,11,1170.572,0.85,0,2,,,,,,,,,,
12,1192.002,0.95,0,2,,,,,,,,,,,,12,1189.379,0.85,0,2,,,,,,,,,,
13,1195.401,1.1,0,2,,,,,,,,,,,,13,1192.055,0.95,0,1,,,,,,,,,,
14,1198.011,0.9,0,2,,,,,,,,,,,,14,1194.61,1.2,0,2,,,,,,,,,,
15,1200.587,1.2,0,2,,,,,,,,,,,,15,1196.997,0.95,0,1,,,,,,,,,,
16,1203.786,0.95,0,1,,,,,,,,,,,,16,1210.028,1.2,0,2,,,,,,,,,,
17,1206.818,1,0,1,,,,,,,,,,,,17,1212.139,1.2,0,2,,,,,,,,,,
18,1209.506,0.975,0,1,,,,,,,,,,,,18,1216.17,1.15,0,2,,,,,,,,,,
19,1212.282,1.05,0,1,,,,,,,,,,,,19,1218.935,0.95,0,2,,,,,,,,,,
20,1215.059,0.95,0,1,,,,,,,,,,,,20,1232.141,0.95,0,2,,,,,,,,,,
21,1217.38,1.1,0,2,,,,,,,,,,,,21,1235.228,0.9,0,2,,,,,,,,,,
22,1221.29,0.9,0,2,,,,,,,,,,,,22,1238.238,1.15,0,2,,,,,,,,,,
23,1223.977,0.85,0,2,,,,,,,,,,,,23,1240.248,1.1,0,1,,,,,,,,,,
24,1226.554,0.9,0,2,,,,,,,,,,,,24,1253.523,0.9,0,2,,,,,,,,,,
25,1228.964,1.2,0,2,,,,,,,,,,,,25,1257.599,1.025,0,1,,,,,,,,,,
26,1231.884,0.975,0,1,,,,,,,,,,,,26,1260.109,0.95,0,2,,,,,,,,,,
27,1234.272,1.025,0,1,,,,,,,,,,,,27,1262.353,1,0,1,,,,,,,,,,
28,1237.538,1.025,0,1,,,,,,,,,,,,28,1275.613,0.85,0,2,,,,,,,,,,
29,1240.003,0.975,0,1,,,,,,,,,,,,29,1277.79,1,0,1,,,,,,,,,,
30,1242.447,1,0,1,,,,,,,,,,,,30,1279.822,1.2,0,2,,,,,,,,,,
31,1244.834,0.975,0,1,,,,,,,,,,,,31,1281.666,1.05,0,1,,,,,,,,,,
32,1248.221,1.2,0,2,,,,,,,,,,,,32,1294.705,1,0,2,,,,,,,,,,
33,1250.62,1.05,0,1,,,,,,,,,,,,33,1298.759,0.95,0,2,,,,,,,,,,
34,1252.931,1,0,1,,,,,,,,,,,,34,1301.135,1.025,0,1,,,,,,,,,,
35,1255.163,0.95,0,2,,,,,,,,,,,,35,1303.635,1.15,0,2,,,,,,,,,,
36,1257.595,0.85,0,2,,,,,,,,,,,,36,1318.372,0.9,0,2,,,,,,,,,,
37,1261.138,1.2,0,2,,,,,,,,,,,,37,1320.183,0.9,0,2,,,,,,,,,,
38,1267.235,1.15,0,2,,,,,,,,,,,,38,1322.528,1.05,0,1,,,,,,,,,,
39,1270.156,1.025,0,1,,,,,,,,,,,,39,1324.725,0.85,0,2,,,,,,,,,,
40,1272.799,1.05,0,1,,,,,,,,,,,,40,1338.233,1.2,0,2,,,,,,,,,,
41,1275.343,0.95,0,2,,,,,,,,,,,,41,1340.454,1,0,1,,,,,,,,,,
42,1278.863,1.2,0,2,,,,,,,,,,,,42,1342.475,0.975,0,1,,,,,,,,,,
43,1282.506,0.9,0,2,,,,,,,,,,,,43,1344.963,1,0,1,,,,,,,,,,
44,1286.638,0.95,0,1,,,,,,,,,,,,44,1358.203,0.85,0,2,,,,,,,,,,
